probe_id	symbol	GSM2805414_Ad-LacZ.CEL
1007_s_at	DDR1	8.04085445740028
1007_s_at	MIR4640	8.04085445740028
1053_at	RFC2	6.89660707268707
117_at	HSPA6	4.89585149092467
121_at	PAX8	7.50731494042795
1255_g_at	GUCA1A	3.26928213281264
1294_at	MIR5193	8.73105421559034
1294_at	UBA7	8.73105421559034
1316_at	THRA	4.92698909414028
1320_at	PTPN21	5.44755557026307
1405_i_at	CCL5	7.77364165312243
1431_at	CYP2E1	2.88170408475174
1438_at	EPHB3	5.07597371667078
1487_at	ESRRA	7.1864256295047
1494_f_at	CYP2A6	6.13247352312853
1552256_a_at	SCARB1	9.03821180786717
1552257_a_at	TTLL12	6.95119410593022
1552258_at	LINC00152	5.38343770688919
1552258_at	LOC101930489	5.38343770688919
1552261_at	WFDC2	4.3253588596564
1552263_at	MAPK1	7.85013824520798
1552264_a_at	MAPK1	8.98795244137739
1552266_at	ADAM32	2.80751536351294
1552269_at	SPATA17	2.3900334125817
1552271_at	PRR22	5.34845643159295
1552272_a_at	PRR22	5.03325790723623
1552274_at	PXK	6.56593569541571
1552275_s_at	PXK	6.51951404040605
1552276_a_at	VPS18	6.20441910211997
1552277_a_at	MSANTD3	9.17428213712604
1552278_a_at	SLC46A1	3.74173351593308
1552279_a_at	SLC46A1	5.63639924212702
1552280_at	TIMD4	3.74173351593308
1552281_at	SLC39A5	6.37055190175868
1552283_s_at	ZDHHC11	3.11064025994831
1552283_s_at	ZDHHC11B	3.11064025994831
1552286_at	ATP6V1E2	5.07659632050245
1552287_s_at	AFG3L1P	6.92768586455395
1552288_at	CILP2	2.88170408475174
1552289_a_at	CILP2	3.74173351593308
1552291_at	PIGX	5.60710032628528
1552293_at	TMEM196	4.45429613657919
1552295_a_at	SLC39A13	8.50280089397355
1552296_at	BEST4	3.74173351593308
1552299_at	AK9	5.41759135608184
1552301_a_at	CORO6	3.97131775791213
1552302_at	TMEM106A	5.38343770688919
1552303_a_at	TMEM106A	5.99417754353048
1552304_at	ALG10	3.58446016061881
1552306_at	ALG10	4.04538510778212
1552307_a_at	TTC39C	3.58446016061881
1552309_a_at	NEXN	7.7261652066901
1552310_at	C15orf40	7.41567610052216
1552311_a_at	RAX2	5.48356555846598
1552312_a_at	MFAP3	7.69168928590917
1552314_a_at	EYA3	3.97131775791213
1552315_at	GIMAP1	7.83125801127732
1552316_a_at	GIMAP1	8.84153990607135
1552318_at	GIMAP1	7.97006117400218
1552319_a_at	KLK8	3.89589989630613
1552320_a_at	CCDC65	2.95702656720714
1552321_a_at	CCDC65	2.32541726541788
1552322_at	FAM122C	2.73454767877389
1552323_s_at	FAM122C	5.69327027861458
1552325_at	CCDC11	2.2622545976128
1552326_a_at	CCDC11	3.03337894032123
1552327_at	ARMCX4	2.88170408475174
1552329_at	RBBP6	5.74798423066086
1552330_at	CENPBD1	6.48771509787103
1552332_at	TRIOBP	7.01950430945989
1552334_at	TRIOBP	5.57719405048152
1552335_at	CATSPER1	5.27584495978125
1552337_s_at	HOXD4	6.66877478333816
1552338_at	GSC	4.3253588596564
1552340_at	SP7	4.51585802206809
1552343_s_at	PDE7A	3.03337894032123
1552344_s_at	CNOT7	8.4746884282168
1552347_at	CRYZL1	6.66877478333816
1552348_at	PRSS33	5.34845643159295
1552349_a_at	PRSS33	4.39079260185657
1552354_at	C19orf26	4.689072800347
1552355_s_at	C19orf26	4.98860652264438
1552359_at	MCMDC2	2.3900334125817
1552360_a_at	TIRAP	3.81930779870933
1552362_a_at	LEAP2	4.11794509479741
1552364_s_at	MSI2	5.45095545100829
1552365_at	SCIN	3.18867242522585
1552367_a_at	SCIN	2.80751536351294
1552368_at	CTCFL	2.4561018218042
1552370_at	C4orf33	6.58108347517541
1552372_at	C4orf33	1.91306898530677
1552373_s_at	C4orf33	2.4561018218042
1552375_at	ZNF333	4.18886321578016
1552377_s_at	TVP23C	6.82962416014757
1552378_s_at	RDH10	4.3253588596564
1552379_at	RDH10	2.2622545976128
1552381_at	SRSF12	2.4561018218042
1552383_at	FAM71A	5.74798423066086
1552384_a_at	FAM71A	4.3253588596564
1552386_at	GAPT	2.73454767877389
1552388_at	FLJ30901	5.72088661571006
1552388_at	SCUBE1	5.72088661571006
1552389_at	ERICH5	2.32541726541788
1552390_a_at	ERICH5	2.52361271094291
1552391_at	CCDC185	3.58446016061881
1552393_at	ENTHD1	2.2622545976128
1552394_a_at	ENTHD1	2.95702656720714
1552395_at	TSSK3	6.71069938900086
1552396_at	WFDC6	3.74173351593308
1552398_a_at	CLEC12A	2.80751536351294
1552399_a_at	BRF1	4.39079260185657
1552400_a_at	C15orf27	4.63321174135031
1552401_a_at	BACH1	2.66287249773403
1552401_a_at	GRIK1-AS2	2.66287249773403
1552402_at	CALML6	3.58446016061881
1552405_at	NLRP5	3.58446016061881
1552408_at	ODF4	3.26732057569154
1552409_a_at	ODF4	5.60710032628528
1552410_at	CLEC4F	5.11868952610534
1552411_at	DEFB106A	5.9006791386137
1552411_at	DEFB106B	5.9006791386137
1552412_a_at	DEFB106A	3.34641404535109
1552412_a_at	DEFB106B	3.34641404535109
1552414_at	WFDC9	3.81930779870933
1552415_a_at	WFDC9	3.50518532530405
1552417_a_at	NEDD1	6.14449975333244
1552418_at	TTLL10	4.04538510778212
1552419_s_at	TTLL10	4.94257148167468
1552421_a_at	CALR3	3.18867242522585
1552422_at	C10orf25	5.41759135608184
1552423_at	ETV3	4.45429613657919
1552424_at	KLHL10	2.80751536351294
1552425_a_at	KLHL10	4.18886321578016
1552426_a_at	TM2D3	9.62157980535013
1552427_at	ZNF485	2.2622545976128
1552430_at	WDR17	2.20053923674618
1552432_at	MFSD6L	4.689072800347
1552436_a_at	CDH23	3.74173351593308
1552436_a_at	LOC100653137	3.74173351593308
1552438_a_at	ANKAR	2.95702656720714
1552439_s_at	MEGF11	2.80751536351294
1552440_at	GPR182	2.52361271094291
1552445_a_at	ESX1	2.80751536351294
1552448_a_at	C8orf12	3.03337894032123
1552449_a_at	LOC653486	2.80751536351294
1552449_a_at	SCGB1C1	2.80751536351294
1552450_a_at	DNAJC5G	5.19939444352561
1552452_at	WDR88	3.50518532530405
1552453_a_at	WDR88	2.95702656720714
1552455_at	PRUNE2	2.4561018218042
1552456_a_at	MBD3L2	3.34641404535109
1552457_a_at	ADAMTSL1	5.41759135608184
1552458_at	MBD3L1	3.18867242522585
1552459_a_at	MBD3L1	4.51585802206809
1552461_at	FAM46D	2.4561018218042
1552463_at	SERPINB11	3.42576793345345
1552466_x_at	LINC00161	2.20053923674618
1552467_at	DSCR10	4.51585802206809
1552468_a_at	DSCR10	5.41759135608184
1552470_a_at	ABHD11	4.04538510778212
1552472_a_at	ACAP2	5.27584495978125
1552473_at	GAMT	7.71933561703727
1552474_a_at	GAMT	7.18727514136415
1552476_s_at	PLCD3	5.85155487228707
1552477_a_at	IRF6	6.03874844664715
1552478_a_at	IRF6	3.89589989630613
1552480_s_at	PTPRC	2.08139527620818
1552481_s_at	MAN1A2	5.72088661571006
1552482_at	RAPH1	2.95702656720714
1552484_at	SMCR8	5.74798423066086
1552485_at	LACTB	6.75143999486093
1552486_s_at	LACTB	7.26436967144877
1552487_a_at	BNC1	5.07659632050245
1552489_s_at	MPP4	2.88170408475174
1552490_at	LACE1	2.95702656720714
1552491_at	IDI2	4.18886321578016
1552493_s_at	CYP11B1	3.58446016061881
1552494_at	TAF8	4.25802935653126
1552496_a_at	COBL	2.88170408475174
1552497_a_at	SLAMF6	5.23812423899609
1552498_at	ZSCAN20	3.58446016061881
1552499_a_at	ZSCAN20	4.04538510778212
1552501_a_at	GPBAR1	5.9006791386137
1552502_s_at	RHBDL2	2.95702656720714
1552503_at	FRAS1	5.07659632050245
1552504_a_at	BRSK1	4.79542979977343
1552506_at	CRB2	3.74173351593308
1552507_at	KCNE4	4.04538510778212
1552508_at	KCNE4	3.81930779870933
1552509_a_at	CD300LG	2.95702656720714
1552510_at	SLC34A3	8.66085956771123
1552511_a_at	CPA6	2.20053923674618
1552514_at	WBP2NL	2.88170408475174
1552515_at	HIPK1	3.58446016061881
1552516_a_at	HIPK1	4.84605736296546
1552518_s_at	MTBP	2.73454767877389
1552519_at	ACVR1C	4.11794509479741
1552520_at	TMEM74	3.11064025994831
1552521_a_at	TMEM74	2.3900334125817
1552522_at	TIGD4	2.1402587154349
1552523_a_at	TIGD4	2.52361271094291
1552524_at	ART5	6.69685944974102
1552526_at	FAM71C	4.11794509479741
1552528_at	C21orf67	6.22385166618304
1552531_a_at	NLRP11	4.11794509479741
1552532_a_at	ATP6V1C2	2.2622545976128
1552535_at	CLDN19	5.31260674907596
1552536_at	VTI1A	3.81930779870933
1552538_a_at	KIF6	4.04538510778212
1552540_s_at	IQCD	4.45429613657919
1552541_at	TAGAP	7.86258918267846
1552542_s_at	TAGAP	3.74173351593308
1552543_a_at	STON2	4.45429613657919
1552544_at	SERPINA12	3.03337894032123
1552546_a_at	LETM2	4.3253588596564
1552548_at	BSND	3.50518532530405
1552549_a_at	BSND	4.79542979977343
1552552_s_at	CLEC4C	2.95702656720714
1552553_a_at	NLRC4	2.66287249773403
1552554_a_at	NLRC4	2.32541726541788
1552555_at	PRSS36	5.60710032628528
1552557_a_at	ZDHHC15	2.2622545976128
1552558_a_at	RAI1	5.5154549349024
1552559_a_at	CDK15	3.42576793345345
1552562_at	ZNF570	3.89589989630613
1552563_a_at	AF131215.4	2.52361271094291
1552564_at	NUDT9P1	2.59254649341595
1552566_at	BTBD16	3.66338070308954
1552568_at	RTP3	5.19939444352561
1552569_a_at	RTP3	5.03325790723623
1552570_at	TSPEAR	4.3253588596564
1552572_a_at	MIPOL1	4.39079260185657
1552573_s_at	MIPOL1	6.29906563020297
1552575_a_at	C6orf141	3.42576793345345
1552576_at	ALMS1P	4.11794509479741
1552578_a_at	MYO3B	2.3900334125817
1552579_a_at	ADAM21	4.45429613657919
1552580_at	TRIML2	3.26732057569154
1552582_at	ABCC13	2.4561018218042
1552583_s_at	ABCC13	3.11064025994831
1552584_at	IL12RB1	4.63321174135031
1552585_s_at	GTF2A1L	2.52361271094291
1552586_at	TRPV3	4.63321174135031
1552587_at	CNBD1	2.2622545976128
1552588_a_at	CNBD1	2.66287249773403
1552590_a_at	ABCC12	3.18867242522585
1552592_at	MMP21	2.2622545976128
1552594_at	TMEM190	5.03325790723623
1552596_at	GAS2L2	5.72088661571006
1552598_at	KCNG4	5.38343770688919
1552599_at	PXT1	4.18886321578016
1552602_at	CACNG5	4.18886321578016
1552604_at	LINC00308	4.51585802206809
1552605_s_at	LINC00308	2.80751536351294
1552607_at	FAM223A	3.89589989630613
1552607_at	FAM223B	3.89589989630613
1552608_at	WFDC11	4.04538510778212
1552609_s_at	IFNL2	3.66338070308954
1552609_s_at	IFNL3	3.66338070308954
1552610_a_at	JAK1	9.92887693638569
1552611_a_at	JAK1	8.02093677168982
1552612_at	CDC42SE2	6.22385166618304
1552613_s_at	CDC42SE2	6.42193400204054
1552615_at	ACACB	7.65636928591885
1552616_a_at	ACACB	4.45429613657919
1552617_a_at	RFWD2	8.38690674974148
1552618_at	STX6	7.61281121637772
1552619_a_at	ANLN	4.39079260185657
1552620_at	SPRR4	6.62559529412833
1552621_at	POLR2J	6.37055190175868
1552621_at	POLR2J2	6.37055190175868
1552621_at	POLR2J3	6.37055190175868
1552621_at	UPK3BL	6.37055190175868
1552622_s_at	LOC441259	3.97131775791213
1552622_s_at	POLR2J	3.97131775791213
1552622_s_at	POLR2J2	3.97131775791213
1552622_s_at	POLR2J3	3.97131775791213
1552622_s_at	UPK3BL	3.97131775791213
1552623_at	HSH2D	4.04538510778212
1552625_a_at	TRNT1	6.43866259588103
1552626_a_at	TMEM163	5.19939444352561
1552627_a_at	ARHGAP5	5.85155487228707
1552628_a_at	HERPUD2	8.39550083881618
1552629_a_at	JMJD6	3.18867242522585
1552630_a_at	SRCAP	4.11794509479741
1552631_a_at	MAP3K6	4.98860652264438
1552632_a_at	ARSG	5.27584495978125
1552633_at	ZNF101	5.38343770688919
1552634_a_at	ZNF101	5.74798423066086
1552637_at	PTPN11	3.34641404535109
1552639_at	KLHDC7B	3.81930779870933
1552641_s_at	ATAD3A	5.82635089651153
1552641_s_at	ATAD3B	5.82635089651153
1552643_at	ZNF626	6.93948786709542
1552644_a_at	PHC3	5.69327027861458
1552646_at	IL11RA	5.07659632050245
1552648_a_at	TNFRSF10A	7.84387224734631
1552649_a_at	RAD51L3-RFFL	4.63321174135031
1552649_a_at	RFFL	4.63321174135031
1552651_a_at	RAD51L3-RFFL	4.39079260185657
1552651_a_at	RFFL	4.39079260185657
1552652_at	HPS4	4.74312457005934
1552656_s_at	UHMK1	4.84605736296546
1552657_a_at	TXNDC2	3.89589989630613
1552658_a_at	NAV3	5.23812423899609
1552660_a_at	C5orf22	7.08472578863552
1552661_at	PCDHGB7	2.73454767877389
1552662_a_at	PCDHGB7	5.5154549349024
1552663_a_at	ERC1	6.97432542191132
1552664_at	FLCN	7.38147570814113
1552665_at	JMJD1C-AS1	6.31727201109934
1552666_a_at	LRRC7	2.88170408475174
1552667_a_at	SH2D3C	7.82490929087758
1552669_at	PPP1R3B	4.04538510778212
1552670_a_at	PPP1R3B	7.7055786737091
1552671_a_at	SLC9A7	5.27584495978125
1552672_a_at	IGSF3	4.63321174135031
1552673_at	RFX6	2.95702656720714
1552674_at	DIRC1	2.2622545976128
1552675_at	DNAJB7	2.32541726541788
1552676_at	UCN3	5.48356555846598
1552677_a_at	DIP2A	4.94257148167468
1552678_a_at	USP28	7.04157404463975
1552680_a_at	CASC5	3.03337894032123
1552682_a_at	CASC5	3.50518532530405
1552684_a_at	SENP8	4.689072800347
1552685_a_at	GRHL1	4.25802935653126
1552686_at	CNBD2	4.74312457005934
1552687_a_at	CNBD2	3.74173351593308
1552689_at	CASKIN1	7.06331124695602
1552690_a_at	CACNA2D4	4.51585802206809
1552691_at	ARL11	2.32541726541788
1552693_at	ARL11	2.66287249773403
1552694_at	SLC2A13	2.59254649341595
1552695_a_at	SLC2A13	3.97131775791213
1552696_at	NIPA1	4.79542979977343
1552698_at	TUBA3FP	4.57548750294698
1552701_a_at	CARD16	12.1025473283331
1552703_s_at	CARD16	11.1753887607528
1552703_s_at	CASP1	11.1753887607528
1552705_at	DUSP19	2.20053923674618
1552708_a_at	DUSP19	2.4561018218042
1552711_a_at	CYB5D1	5.63639924212702
1552712_a_at	NMNAT2	4.689072800347
1552713_a_at	SLC4A1	3.11064025994831
1552714_at	CREG2	2.66287249773403
1552715_a_at	RXFP1	3.18867242522585
1552716_at	SPEF2	3.66338070308954
1552717_s_at	CEP170	7.13691144724351
1552717_s_at	CEP170P1	7.13691144724351
1552718_at	DTD1	5.1596019472039
1552719_at	CASC4	4.74312457005934
1552721_a_at	FGF1	2.52361271094291
1552722_at	ARPP21	2.02392678206714
1552724_at	RHOXF1	5.07659632050245
1552725_s_at	ADAMTS17	3.42576793345345
1552726_at	ADAMTS17	4.689072800347
1552727_s_at	ADAMTS17	2.66287249773403
1552729_at	SNHG7	5.23812423899609
1552729_at	SNORA17	5.23812423899609
1552729_at	SNORA43	5.23812423899609
1552730_at	DHH	4.25802935653126
1552731_at	ABRA	3.03337894032123
1552732_at	ABRA	2.02392678206714
1552733_at	KLHDC1	4.94257148167468
1552734_at	RICTOR	2.88170408475174
1552735_at	PCDHGA4	3.58446016061881
1552736_a_at	NETO1	3.26732057569154
1552737_s_at	WWP2	4.3253588596564
1552738_a_at	ST7L	6.12396054995225
1552739_s_at	ST7L	6.84225262754527
1552740_at	C2orf15	2.32541726541788
1552742_at	KCNH8	2.1402587154349
1552743_at	MCF2L	3.81930779870933
1552745_at	SLCO6A1	3.03337894032123
1552747_a_at	PP2D1	2.3900334125817
1552749_a_at	KLC3	7.16734014361047
1552750_at	CIB3	2.52361271094291
1552751_a_at	CIB3	4.11794509479741
1552752_a_at	CADM2	3.11064025994831
1552754_a_at	CADM2	2.3900334125817
1552755_at	C9orf66	3.97131775791213
1552757_s_at	C9orf66	2.95702656720714
1552758_at	HDAC9	3.18867242522585
1552760_at	HDAC9	3.34641404535109
1552761_at	SLC16A11	5.38343770688919
1552763_at	TMEM67	2.2622545976128
1552765_x_at	TMEM67	2.73454767877389
1552766_at	HS6ST2	2.52361271094291
1552767_a_at	HS6ST2	5.80069876480059
1552768_at	CAMKK1	5.19939444352561
1552769_at	ZNF625	4.39079260185657
1552770_s_at	ZNF563	2.80751536351294
1552771_a_at	LIN9	2.59254649341595
1552772_at	CLEC4D	2.73454767877389
1552773_at	CLEC4D	4.18886321578016
1552774_a_at	SLC25A27	2.88170408475174
1552775_at	GPRC6A	4.39079260185657
1552777_a_at	RAET1E	3.34641404535109
1552779_a_at	SLC44A5	4.39079260185657
1552782_at	SLC44A5	3.34641404535109
1552783_at	ZNF417	2.1402587154349
1552785_at	ZNF781	2.59254649341595
1552787_at	HELB	3.81930779870933
1552788_a_at	HELB	4.11794509479741
1552789_at	SEC62	4.25802935653126
1552790_a_at	SEC62	6.12396054995225
1552791_a_at	TRDN	2.59254649341595
1552792_at	SOCS4	4.51585802206809
1552793_at	C8orf31	3.26732057569154
1552794_a_at	ZNF547	3.18867242522585
1552796_a_at	SIM1	3.50518532530405
1552797_s_at	PROM2	2.73454767877389
1552798_a_at	TLR4	8.59149327948287
1552799_at	TSNARE1	4.04538510778212
1552800_at	ABHD11	6.20441910211997
1552801_at	CAPN13	2.80751536351294
1552803_a_at	STMN1	3.34641404535109
1552804_a_at	TIRAP	5.99417754353048
1552806_a_at	SIGLEC10	2.80751536351294
1552807_a_at	SIGLEC10	4.63321174135031
1552808_at	ADAMTSL1	2.73454767877389
1552809_at	RFX4	2.59254649341595
1552811_at	WFIKKN1	6.50370217880739
1552812_a_at	SENP1	4.25802935653126
1552813_at	KLF14	4.89507984215023
1552814_a_at	KLF14	3.89589989630613
1552816_at	NXNL2	2.66287249773403
1552818_a_at	BRS3	2.73454767877389
1552819_at	LINC00205	4.25802935653126
1552819_at	LOC102723489	4.25802935653126
1552819_at	LOC102725097	4.25802935653126
1552822_at	TMX3	2.52361271094291
1552825_at	ZNF396	2.59254649341595
1552826_at	SLC26A7	2.32541726541788
1552827_s_at	SLC26A7	2.73454767877389
1552828_at	SNX18	4.3253588596564
1552830_at	FBXO39	3.58446016061881
1552833_at	B3GNT6	5.45095545100829
1552834_at	B3GNT6	4.89507984215023
1552835_at	DENND1B	2.3900334125817
1552836_at	ZNF619	6.0166351110202
1552837_at	ICK	2.08139527620818
1552839_at	FAM71D	3.89589989630613
1552841_s_at	BCL2L14	2.88170408475174
1552842_at	HS6ST3	4.18886321578016
1552843_at	SLC26A1	3.26732057569154
1552845_at	CLDN15	5.41759135608184
1552846_s_at	RAB42	5.38343770688919
1552848_a_at	PTCHD1	3.42576793345345
1552849_at	M1AP	2.20053923674618
1552851_at	ZSCAN4	2.59254649341595
1552852_a_at	ZSCAN4	3.11064025994831
1552853_at	VWA5B1	2.80751536351294
1552854_a_at	VWA5B1	3.81930779870933
1552856_at	LINC00311	3.11064025994831
1552857_a_at	HTR6	4.3253588596564
1552858_at	MAGEB6	2.1402587154349
1552860_at	LOC101060464	3.18867242522585
1552860_at	LOC101929858	3.18867242522585
1552860_at	LOC101930165	3.18867242522585
1552860_at	LOC101930171	3.18867242522585
1552860_at	TCEB3C	3.18867242522585
1552860_at	TCEB3CL	3.18867242522585
