symbol	GSM2805414_Ad-LacZ.CEL
A1BG	3.34641404535109
A1BG-AS1	4.18886321578016
A1CF	3.42344721183039
A2M	6.21168001062748
A2M-AS1	3.34641404535109
A2ML1	3.20592714606264
A2MP1	4.04538510778212
A4GALT	4.89507984215023
A4GNT	4.39079260185657
AA06	4.3253588596564
AAAS	7.00834153193759
AACS	7.60542194301712
AACSP1	2.4561018218042
AADAC	3.81930779870933
AADACL2	2.59254649341595
AADACP1	3.97131775791213
AADAT	3.97131775791213
AAED1	7.46550296626506
AAGAB	4.98860652264438
AAK1	4.689072800347
AAMDC	8.05930242641192
AAMP	9.15922103940617
AANAT	3.11064025994831
AAR2	7.5526093758191
AARS	9.27552446397459
AARS2	5.96773243616499
AARSD1	7.52153941793695
AASDH	6.0813139425852
AASDHPPT	8.91211758155439
AASS	5.56151934119395
AATF	7.80569375947708
AATK	6.24302595586331
AB074162	4.74312457005934
AB488780	5.5154549349024
ABAT	2.66287249773403
ABCA1	4.67986597373752
ABCA11P	5.45095545100829
ABCA12	2.59254649341595
ABCA13	2.20053923674618
ABCA17P	3.74173351593308
ABCA2	4.63321174135031
ABCA3	6.99709170906074
ABCA4	4.42931224530459
ABCA5	5.31694355841121
ABCA6	3.89589989630613
ABCA7	4.63321174135031
ABCA8	3.50518532530405
ABCA9	2.52361271094291
ABCB1	6.72440782070167
ABCB10	7.83125801127732
ABCB11	3.42216477458045
ABCB4	3.89589989630613
ABCB5	3.15373600910259
ABCB6	5.59062817087671
ABCB7	8.04844452203476
ABCB8	5.69327027861458
ABCB9	4.51585802206809
ABCC1	8.34936535501809
ABCC10	7.92708332192008
ABCC11	3.57294489149365
ABCC12	3.07284949621649
ABCC13	2.85159337668213
ABCC2	4.25802935653126
ABCC3	4.98860652264438
ABCC4	6.30870626991643
ABCC5	6.31727201109934
ABCC6	4.63321174135031
ABCC6P1	4.03805602594096
ABCC6P2	5.48356555846598
ABCC8	5.06107110594009
ABCC9	3.34641404535109
ABCD1	6.59607385984916
ABCD1P2	4.11794509479741
ABCD2	2.1402587154349
ABCD3	8.2368837303817
ABCD4	6.1837983904512
ABCE1	9.45892073355822
ABCF1	9.03821180786717
ABCF2	6.22385166618304
ABCF3	7.4241010034039
ABCG1	5.54661571576133
ABCG2	5.82635089651153
ABCG4	5.11868952610534
ABCG5	3.58446016061881
ABCG8	4.3253588596564
ABHD1	4.11794509479741
ABHD10	7.62752719586752
ABHD11	6.20441910211997
ABHD12	8.00978511519453
ABHD12B	2.36640260442542
ABHD13	5.44537856131237
ABHD14A	6.14449975333244
ABHD14A-ACY1	6.68288545530928
ABHD14B	6.0166351110202
ABHD15	5.27584495978125
ABHD16A	6.03130963271857
ABHD16B	3.74173351593308
ABHD17A	9.85446672230206
ABHD17B	6.53515448189316
ABHD17C	6.86718269783035
ABHD2	6.4319920959244
ABHD3	7.31960193134482
ABHD4	7.80211340731553
ABHD5	5.36839799884271
ABHD6	5.44411600879163
ABHD8	4.57548750294698
ABI1	8.39977876126441
ABI2	7.66850393595216
ABI3	6.82962416014757
ABI3BP	2.73454767877389
ABL1	9.04095331244064
ABL2	8.3739188568848
ABLIM1	7.95132389080782
ABLIM2	4.11794509479741
ABLIM3	7.64199555908905
ABO	5.64904033309579
abParts	4.3253588596564
ABR	7.5624049077847
ABRA	2.52865286119419
ABRACL	10.940124329629
ABT1	8.08077611421175
ABTB1	4.63321174135031
ABTB2	5.25771184842926
AC000111.3	2.32541726541788
AC002059.10	3.11064025994831
AC002064.5	4.3253588596564
AC002310.12	3.97131775791213
AC002310.7	3.97131775791213
AC003973.4	3.42576793345345
AC003986.5	4.51585802206809
AC003989.4	3.74173351593308
AC004158.3	2.4561018218042
AC004490.1	3.26732057569154
AC004538.3	3.34641404535109
AC004692.5	8.5535994532453
AC004941.5	6.64013252566576
AC004951.6	4.51585802206809
AC005162.4	5.48356555846598
AC005224.2	3.50518532530405
AC005256.1	5.34845643159295
AC005306.3	4.51585802206809
AC005498.3	4.11794509479741
AC005523.2	5.85155487228707
AC005523.3	4.51585802206809
AC005537.2	3.03337894032123
AC005592.3	3.26732057569154
AC005606.14	4.3253588596564
AC005754.7	2.95702656720714
AC005785.2	5.1596019472039
AC005838.2	4.3253588596564
AC006026.13	4.18886321578016
AC006129.2	2.73454767877389
AC006538.1	2.59254649341595
AC007228.11	5.31260674907596
AC007255.8	3.18867242522585
AC007292.3	5.23812423899609
AC007349.5	2.52361271094291
AC007362.3	4.63321174135031
AC007364.1	2.88170408475174
AC007365.3	4.63321174135031
AC007389.3	5.57719405048152
AC007401.2	3.66338070308954
AC007557.2	2.4561018218042
AC007680.2	3.18867242522585
AC007787.2	5.38343770688919
AC007967.3	5.11868952610534
AC008088.4	2.80751536351294
AC008746.12	3.50518532530405
AC008753.4	4.98860652264438
AC009120.6	6.75143999486093
AC009133.15	4.45429613657919
AC009237.8	4.11794509479741
AC009502.4	5.85155487228707
AC009947.3	3.42576793345345
AC010095.5	3.50518532530405
AC010145.3	4.89507984215023
AC010145.4	4.18886321578016
AC010524.4	4.41103747856524
AC010980.2	2.95702656720714
AC011997.1	2.4561018218042
AC012065.7	7.64199555908905
AC012360.6	4.89507984215023
AC012499.1	2.73454767877389
AC012531.25	4.18886321578016
AC013463.2	3.42576793345345
AC013733.4	2.85159337668213
AC016831.7	3.50518532530405
AC016999.2	5.07659632050245
AC017002.2	5.11868952610534
AC017104.6	6.28062655049547
AC018462.2	3.97131775791213
AC018755.16	6.65452473375195
AC018755.17	2.52361271094291
AC018766.6	4.3253588596564
AC018816.3	6.10312470804833
AC024560.2	4.18886321578016
